trade_date,trade_status,day_week
2008-01-01,0,3
2008-01-02,1,4
2008-01-03,1,5
2008-01-04,1,6
2008-01-05,0,7
2008-01-06,0,1
2008-01-07,1,2
2008-01-08,1,3
2008-01-09,1,4
2008-01-10,1,5
2008-01-11,1,6
2008-01-12,0,7
2008-01-13,0,1
2008-01-14,1,2
2008-01-15,1,3
2008-01-16,1,4
2008-01-17,1,5
2008-01-18,1,6
2008-01-19,0,7
2008-01-20,0,1
2008-01-21,1,2
2008-01-22,1,3
2008-01-23,1,4
2008-01-24,1,5
2008-01-25,1,6
2008-01-26,0,7
2008-01-27,0,1
2008-01-28,1,2
2008-01-29,1,3
2008-01-30,1,4
2008-01-31,1,5
2008-02-01,1,6
2008-02-02,0,7
2008-02-03,0,1
2008-02-04,1,2
2008-02-05,1,3
2008-02-06,0,4
2008-02-07,0,5
2008-02-08,0,6
2008-02-09,0,7
2008-02-10,0,1
2008-02-11,0,2
2008-02-12,0,3
2008-02-13,1,4
2008-02-14,1,5
2008-02-15,1,6
2008-02-16,0,7
2008-02-17,0,1
2008-02-18,1,2
2008-02-19,1,3
2008-02-20,1,4
2008-02-21,1,5
2008-02-22,1,6
2008-02-23,0,7
2008-02-24,0,1
2008-02-25,1,2
2008-02-26,1,3
2008-02-27,1,4
2008-02-28,1,5
2008-02-29,1,6
2008-03-01,0,7
2008-03-02,0,1
2008-03-03,1,2
2008-03-04,1,3
2008-03-05,1,4
2008-03-06,1,5
2008-03-07,1,6
2008-03-08,0,7
2008-03-09,0,1
2008-03-10,1,2
2008-03-11,1,3
2008-03-12,1,4
2008-03-13,1,5
2008-03-14,1,6
2008-03-15,0,7
2008-03-16,0,1
2008-03-17,1,2
2008-03-18,1,3
2008-03-19,1,4
2008-03-20,1,5
2008-03-21,1,6
2008-03-22,0,7
2008-03-23,0,1
2008-03-24,1,2
2008-03-25,1,3
2008-03-26,1,4
2008-03-27,1,5
2008-03-28,1,6
2008-03-29,0,7
2008-03-30,0,1
2008-03-31,1,2
2008-04-01,1,3
2008-04-02,1,4
2008-04-03,1,5
2008-04-04,0,6
2008-04-05,0,7
2008-04-06,0,1
2008-04-07,1,2
2008-04-08,1,3
2008-04-09,1,4
2008-04-10,1,5
2008-04-11,1,6
2008-04-12,0,7
2008-04-13,0,1
2008-04-14,1,2
2008-04-15,1,3
2008-04-16,1,4
2008-04-17,1,5
2008-04-18,1,6
2008-04-19,0,7
2008-04-20,0,1
2008-04-21,1,2
2008-04-22,1,3
2008-04-23,1,4
2008-04-24,1,5
2008-04-25,1,6
2008-04-26,0,7
2008-04-27,0,1
2008-04-28,1,2
2008-04-29,1,3
2008-04-30,1,4
2008-05-01,0,5
2008-05-02,0,6
2008-05-03,0,7
2008-05-04,0,1
2008-05-05,1,2
2008-05-06,1,3
2008-05-07,1,4
2008-05-08,1,5
2008-05-09,1,6
2008-05-10,0,7
2008-05-11,0,1
2008-05-12,1,2
2008-05-13,1,3
2008-05-14,1,4
2008-05-15,1,5
2008-05-16,1,6
2008-05-17,0,7
2008-05-18,0,1
2008-05-19,1,2
2008-05-20,1,3
2008-05-21,1,4
2008-05-22,1,5
2008-05-23,1,6
2008-05-24,0,7
2008-05-25,0,1
2008-05-26,1,2
2008-05-27,1,3
2008-05-28,1,4
2008-05-29,1,5
2008-05-30,1,6
2008-05-31,0,7
2008-06-01,0,1
2008-06-02,1,2
2008-06-03,1,3
2008-06-04,1,4
2008-06-05,1,5
2008-06-06,1,6
2008-06-07,0,7
2008-06-08,0,1
2008-06-09,0,2
2008-06-10,1,3
2008-06-11,1,4
2008-06-12,1,5
2008-06-13,1,6
2008-06-14,0,7
2008-06-15,0,1
2008-06-16,1,2
2008-06-17,1,3
2008-06-18,1,4
2008-06-19,1,5
2008-06-20,1,6
2008-06-21,0,7
2008-06-22,0,1
2008-06-23,1,2
2008-06-24,1,3
2008-06-25,1,4
2008-06-26,1,5
2008-06-27,1,6
2008-06-28,0,7
2008-06-29,0,1
2008-06-30,1,2
2008-07-01,1,3
2008-07-02,1,4
2008-07-03,1,5
2008-07-04,1,6
2008-07-05,0,7
2008-07-06,0,1
2008-07-07,1,2
2008-07-08,1,3
2008-07-09,1,4
2008-07-10,1,5
2008-07-11,1,6
2008-07-12,0,7
2008-07-13,0,1
2008-07-14,1,2
2008-07-15,1,3
2008-07-16,1,4
2008-07-17,1,5
2008-07-18,1,6
2008-07-19,0,7
2008-07-20,0,1
2008-07-21,1,2
2008-07-22,1,3
2008-07-23,1,4
2008-07-24,1,5
2008-07-25,1,6
2008-07-26,0,7
2008-07-27,0,1
2008-07-28,1,2
2008-07-29,1,3
2008-07-30,1,4
2008-07-31,1,5
2008-08-01,1,6
2008-08-02,0,7
2008-08-03,0,1
2008-08-04,1,2
2008-08-05,1,3
2008-08-06,1,4
