trade_date,trade_status,day_week
2014-01-01,0,4
2014-01-02,1,5
2014-01-03,1,6
2014-01-04,0,7
2014-01-05,0,1
2014-01-06,1,2
2014-01-07,1,3
2014-01-08,1,4
2014-01-09,1,5
2014-01-10,1,6
2014-01-11,0,7
2014-01-12,0,1
2014-01-13,1,2
2014-01-14,1,3
2014-01-15,1,4
2014-01-16,1,5
2014-01-17,1,6
2014-01-18,0,7
2014-01-19,0,1
2014-01-20,1,2
2014-01-21,1,3
2014-01-22,1,4
2014-01-23,1,5
2014-01-24,1,6
2014-01-25,0,7
2014-01-26,0,1
2014-01-27,1,2
2014-01-28,1,3
2014-01-29,1,4
2014-01-30,1,5
2014-01-31,0,6
2014-02-01,0,7
2014-02-02,0,1
2014-02-03,0,2
2014-02-04,0,3
2014-02-05,0,4
2014-02-06,0,5
2014-02-07,1,6
2014-02-08,0,7
2014-02-09,0,1
2014-02-10,1,2
2014-02-11,1,3
2014-02-12,1,4
2014-02-13,1,5
2014-02-14,1,6
2014-02-15,0,7
2014-02-16,0,1
2014-02-17,1,2
2014-02-18,1,3
2014-02-19,1,4
2014-02-20,1,5
2014-02-21,1,6
2014-02-22,0,7
2014-02-23,0,1
2014-02-24,1,2
2014-02-25,1,3
2014-02-26,1,4
2014-02-27,1,5
2014-02-28,1,6
2014-03-01,0,7
2014-03-02,0,1
2014-03-03,1,2
2014-03-04,1,3
2014-03-05,1,4
2014-03-06,1,5
2014-03-07,1,6
2014-03-08,0,7
2014-03-09,0,1
2014-03-10,1,2
2014-03-11,1,3
2014-03-12,1,4
2014-03-13,1,5
2014-03-14,1,6
2014-03-15,0,7
2014-03-16,0,1
2014-03-17,1,2
2014-03-18,1,3
2014-03-19,1,4
2014-03-20,1,5
2014-03-21,1,6
2014-03-22,0,7
2014-03-23,0,1
2014-03-24,1,2
2014-03-25,1,3
2014-03-26,1,4
2014-03-27,1,5
2014-03-28,1,6
2014-03-29,0,7
2014-03-30,0,1
2014-03-31,1,2
2014-04-01,1,3
2014-04-02,1,4
2014-04-03,1,5
2014-04-04,1,6
2014-04-05,0,7
2014-04-06,0,1
2014-04-07,0,2
2014-04-08,1,3
2014-04-09,1,4
2014-04-10,1,5
2014-04-11,1,6
2014-04-12,0,7
2014-04-13,0,1
2014-04-14,1,2
2014-04-15,1,3
2014-04-16,1,4
2014-04-17,1,5
2014-04-18,1,6
2014-04-19,0,7
2014-04-20,0,1
2014-04-21,1,2
2014-04-22,1,3
2014-04-23,1,4
2014-04-24,1,5
2014-04-25,1,6
2014-04-26,0,7
2014-04-27,0,1
2014-04-28,1,2
2014-04-29,1,3
2014-04-30,1,4
2014-05-01,0,5
2014-05-02,0,6
2014-05-03,0,7
2014-05-04,0,1
2014-05-05,1,2
2014-05-06,1,3
2014-05-07,1,4
2014-05-08,1,5
2014-05-09,1,6
2014-05-10,0,7
