trade_date,trade_status,day_week
2009-01-01,0,5
2009-01-02,0,6
2009-01-03,0,7
2009-01-04,0,1
2009-01-05,1,2
2009-01-06,1,3
2009-01-07,1,4
2009-01-08,1,5
2009-01-09,1,6
2009-01-10,0,7
2009-01-11,0,1
2009-01-12,1,2
2009-01-13,1,3
2009-01-14,1,4
2009-01-15,1,5
2009-01-16,1,6
2009-01-17,0,7
2009-01-18,0,1
2009-01-19,1,2
2009-01-20,1,3
2009-01-21,1,4
2009-01-22,1,5
2009-01-23,1,6
2009-01-24,0,7
2009-01-25,0,1
2009-01-26,0,2
2009-01-27,0,3
2009-01-28,0,4
2009-01-29,0,5
2009-01-30,0,6
2009-01-31,0,7
2009-02-01,0,1
2009-02-02,1,2
2009-02-03,1,3
2009-02-04,1,4
2009-02-05,1,5
2009-02-06,1,6
2009-02-07,0,7
2009-02-08,0,1
2009-02-09,1,2
2009-02-10,1,3
2009-02-11,1,4
2009-02-12,1,5
2009-02-13,1,6
2009-02-14,0,7
2009-02-15,0,1
2009-02-16,1,2
2009-02-17,1,3
2009-02-18,1,4
2009-02-19,1,5
2009-02-20,1,6
2009-02-21,0,7
2009-02-22,0,1
2009-02-23,1,2
2009-02-24,1,3
2009-02-25,1,4
2009-02-26,1,5
2009-02-27,1,6
2009-02-28,0,7
2009-03-01,0,1
2009-03-02,1,2
2009-03-03,1,3
2009-03-04,1,4
2009-03-05,1,5
2009-03-06,1,6
2009-03-07,0,7
2009-03-08,0,1
2009-03-09,1,2
2009-03-10,1,3
2009-03-11,1,4
2009-03-12,1,5
2009-03-13,1,6
2009-03-14,0,7
2009-03-15,0,1
2009-03-16,1,2
2009-03-17,1,3
2009-03-18,1,4
2009-03-19,1,5
2009-03-20,1,6
2009-03-21,0,7
2009-03-22,0,1
2009-03-23,1,2
2009-03-24,1,3
2009-03-25,1,4
2009-03-26,1,5
2009-03-27,1,6
2009-03-28,0,7
2009-03-29,0,1
2009-03-30,1,2
2009-03-31,1,3
2009-04-01,1,4
2009-04-02,1,5
2009-04-03,1,6
2009-04-04,0,7
2009-04-05,0,1
2009-04-06,0,2
2009-04-07,1,3
2009-04-08,1,4
2009-04-09,1,5
2009-04-10,1,6
2009-04-11,0,7
2009-04-12,0,1
2009-04-13,1,2
2009-04-14,1,3
2009-04-15,1,4
2009-04-16,1,5
2009-04-17,1,6
2009-04-18,0,7
2009-04-19,0,1
2009-04-20,1,2
2009-04-21,1,3
2009-04-22,1,4
2009-04-23,1,5
2009-04-24,1,6
2009-04-25,0,7
2009-04-26,0,1
2009-04-27,1,2
2009-04-28,1,3
2009-04-29,1,4
2009-04-30,1,5
2009-05-01,0,6
2009-05-02,0,7
2009-05-03,0,1
2009-05-04,1,2
2009-05-05,1,3
2009-05-06,1,4
2009-05-07,1,5
2009-05-08,1,6
2009-05-09,0,7
2009-05-10,0,1
2009-05-11,1,2
2009-05-12,1,3
2009-05-13,1,4
2009-05-14,1,5
2009-05-15,1,6
2009-05-16,0,7
2009-05-17,0,1
2009-05-18,1,2
2009-05-19,1,3
2009-05-20,1,4
2009-05-21,1,5
2009-05-22,1,6
2009-05-23,0,7
2009-05-24,0,1
2009-05-25,1,2
2009-05-26,1,3
2009-05-27,1,4
2009-05-28,0,5
2009-05-29,0,6
2009-05-30,0,7
2009-05-31,0,1
2009-06-01,1,2
2009-06-02,1,3
2009-06-03,1,4
2009-06-04,1,5
2009-06-05,1,6
2009-06-06,0,7
2009-06-07,0,1
2009-06-08,1,2
2009-06-09,1,3
2009-06-10,1,4
2009-06-11,1,5
2009-06-12,1,6
2009-06-13,0,7
2009-06-14,0,1
2009-06-15,1,2
2009-06-16,1,3
2009-06-17,1,4
2009-06-18,1,5
2009-06-19,1,6
2009-06-20,0,7
2009-06-21,0,1
2009-06-22,1,2
2009-06-23,1,3
2009-06-24,1,4
2009-06-25,1,5
2009-06-26,1,6
2009-06-27,0,7
2009-06-28,0,1
2009-06-29,1,2
2009-06-30,1,3
2009-07-01,1,4
2009-07-02,1,5
2009-07-03,1,6
2009-07-04,0,7
2009-07-05,0,1
2009-07-06,1,2
2009-07-07,1,3
2009-07-08,1,4
2009-07-09,1,5
2009-07-10,1,6
2009-07-11,0,7
2009-07-12,0,1
2009-07-13,1,2
2009-07-14,1,3
2009-07-15,1,4
2009-07-16,1,5
2009-07-17,1,6
2009-07-18,0,7
2009-07-19,0,1
2009-07-20,1,2
2009-07-21,1,3
2009-07-22,1,4
2009-07-23,1,5
2009-07-24,1,6
2009-07-25,0,7
2009-07-26,0,1
2009-07-27,1,2
2009-07-28,1,3
2009-07-29,1,4
2009-07-30,1,5
2009-07-31,1,6
2009-08-01,0,7
2009-08-02,0,1
2009-08-03,1,2
2009-08-04,1,3
2009-08-05,1,4
2009-08-06,1,5
2009-08-07,1,6
2009-08-08,0,7
2009-08-09,0,1
2009-08-10,1,2
2009-08-11,1,3
2009-08-12,1,4
2009-08-13,1,5
2009-08-14,1,6
2009-08-15,0,7
2009-08-16,0,1
2009-08-17,1,2
2009-08-18,1,3
2009-08-19,1,4
2009-08-20,1,5
2009-08-21,1,6
2009-08-22,0,7
2009-08-23,0,1
2009-08-24,1,2
2009-08-25,1,3
2009-08-26,1,4
2009-08-27,1,5
2009-08-28,1,6
2009-08-29,0,7
2009-08-30,0,1
2009-08-31,1,2
2009-09-01,1,3
2009-09-02,1,4
2009-09-03,1,5
2009-09-04,1,6
2009-09-05,0,7
2009-09-06,0,1
2009-09-07,1,2
2009-09-08,1,3
2009-09-09,1,4
2009-09-10,1,5
2009-09-11,1,6
2009-09-12,0,7
2009-09-13,0,1
2009-09-14,1,2
2009-09-15,1,3
2009-09-16,1,4
2009-09-17,1,5
2009-09-18,1,6
2009-09-19,0,7
2009-09-20,0,1
2009-09-21,1,2
2009-09-22,1,3
2009-09-23,1,4
2009-09-24,1,5
2009-09-25,1,6
2009-09-26,0,7
2009-09-27,0,1
2009-09-28,1,2
2009-09-29,1,3
2009-09-30,1,4
2009-10-01,0,5
2009-10-02,0,6
2009-10-03,0,7
2009-10-04,0,1
2009-10-05,0,2
2009-10-06,0,3
2009-10-07,0,4
2009-10-08,0,5
2009-10-09,1,6
2009-10-10,0,7
2009-10-11,0,1
2009-10-12,1,2
2009-10-13,1,3
2009-10-14,1,4
2009-10-15,1,5
2009-10-16,1,6
2009-10-17,0,7
2009-10-18,0,1
2009-10-19,1,2
2009-10-20,1,3
2009-10-21,1,4
2009-10-22,1,5
2009-10-23,1,6
2009-10-24,0,7
2009-10-25,0,1
2009-10-26,1,2
2009-10-27,1,3
2009-10-28,1,4
