trade_date,trade_status,day_week
2007-01-01,0,2
2007-01-02,0,3
2007-01-03,0,4
2007-01-04,1,5
2007-01-05,1,6
2007-01-06,0,7
2007-01-07,0,1
2007-01-08,1,2
2007-01-09,1,3
2007-01-10,1,4
2007-01-11,1,5
2007-01-12,1,6
2007-01-13,0,7
2007-01-14,0,1
2007-01-15,1,2
2007-01-16,1,3
2007-01-17,1,4
2007-01-18,1,5
2007-01-19,1,6
2007-01-20,0,7
2007-01-21,0,1
2007-01-22,1,2
2007-01-23,1,3
2007-01-24,1,4
2007-01-25,1,5
2007-01-26,1,6
2007-01-27,0,7
2007-01-28,0,1
2007-01-29,1,2
2007-01-30,1,3
2007-01-31,1,4
2007-02-01,1,5
2007-02-02,1,6
2007-02-03,0,7
2007-02-04,0,1
2007-02-05,1,2
2007-02-06,1,3
2007-02-07,1,4
2007-02-08,1,5
2007-02-09,1,6
2007-02-10,0,7
2007-02-11,0,1
2007-02-12,1,2
2007-02-13,1,3
2007-02-14,1,4
2007-02-15,1,5
2007-02-16,1,6
2007-02-17,0,7
2007-02-18,0,1
2007-02-19,0,2
2007-02-20,0,3
2007-02-21,0,4
2007-02-22,0,5
2007-02-23,0,6
2007-02-24,0,7
2007-02-25,0,1
2007-02-26,1,2
2007-02-27,1,3
2007-02-28,1,4
2007-03-01,1,5
2007-03-02,1,6
2007-03-03,0,7
2007-03-04,0,1
2007-03-05,1,2
2007-03-06,1,3
2007-03-07,1,4
2007-03-08,1,5
2007-03-09,1,6
2007-03-10,0,7
2007-03-11,0,1
2007-03-12,1,2
2007-03-13,1,3
2007-03-14,1,4
2007-03-15,1,5
2007-03-16,1,6
2007-03-17,0,7
2007-03-18,0,1
2007-03-19,1,2
2007-03-20,1,3
2007-03-21,1,4
2007-03-22,1,5
2007-03-23,1,6
2007-03-24,0,7
2007-03-25,0,1
2007-03-26,1,2
2007-03-27,1,3
2007-03-28,1,4
2007-03-29,1,5
2007-03-30,1,6
2007-03-31,0,7
2007-04-01,0,1
2007-04-02,1,2
2007-04-03,1,3
2007-04-04,1,4
2007-04-05,1,5
2007-04-06,1,6
2007-04-07,0,7
2007-04-08,0,1
2007-04-09,1,2
2007-04-10,1,3
2007-04-11,1,4
2007-04-12,1,5
2007-04-13,1,6
2007-04-14,0,7
2007-04-15,0,1
2007-04-16,1,2
2007-04-17,1,3
2007-04-18,1,4
2007-04-19,1,5
2007-04-20,1,6
2007-04-21,0,7
2007-04-22,0,1
2007-04-23,1,2
2007-04-24,1,3
2007-04-25,1,4
2007-04-26,1,5
2007-04-27,1,6
2007-04-28,0,7
2007-04-29,0,1
2007-04-30,1,2
2007-05-01,0,3
2007-05-02,0,4
2007-05-03,0,5
2007-05-04,0,6
2007-05-05,0,7
2007-05-06,0,1
2007-05-07,0,2
2007-05-08,1,3
2007-05-09,1,4
2007-05-10,1,5
2007-05-11,1,6
2007-05-12,0,7
2007-05-13,0,1
2007-05-14,1,2
2007-05-15,1,3
